2018-09-16T07:10:31.627Z - info: Website generation started at 15:10:17
2018-09-16T07:11:25.623Z - info: Building assets...
2018-09-16T07:11:43.260Z - info: Assets built
2018-09-16T07:11:43.261Z - info: Generating pages...
2018-09-16T07:12:57.042Z - info: Pages built
2018-09-16T07:12:57.676Z - info: Site data built
2018-09-16T07:12:57.677Z - info: Website generation complete! Total build time: 160.018s
2018-09-16T07:12:57.686Z - info: Generate Site durationMs=160026
2018-09-16T07:12:58.251Z - info: Serving "C:\repos\nus-tic2002-2018\website\_site" at http://127.0.0.1:8080
2018-09-16T07:12:58.252Z - info: Press CTRL+C to stop ...
2018-09-16T08:29:10.480Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\classLevelMembers\q-getMaxRadius.md
2018-09-16T08:29:10.481Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\stringClass\resources.md
2018-09-16T08:29:10.481Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\stringClass\exercises.md
2018-09-16T08:29:10.481Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\stringClass\q-printPriceMethod.md
2018-09-16T08:29:10.481Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\wrapperClasses\exercises.md
2018-09-16T08:29:10.482Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\wrapperClasses\q-printTotalScoreMethod.md
2018-09-16T08:29:10.482Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\arraysClass\exercises.md
2018-09-16T08:29:10.482Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\arraysClass\q-filterEmailsMethod.md
2018-09-16T08:29:10.482Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\basic\exercises.md
2018-09-16T08:29:10.483Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\basic\q-inheritTaskClass.md
2018-09-16T08:29:10.483Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\objectClass\exercises.md
2018-09-16T08:29:10.483Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\objectClass\q-overrideToStringMethod.md
2018-09-16T08:29:10.483Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\abstractClassesAndMethods\resources.md
